,BGC,idseq
256,EU874253,Cluster_1130825 Cluster_1435002 Cluster_1458269 Cluster_1263907 Cluster_1606065 Cluster_0939003 Cluster_1121844 Cluster_1786510 Cluster_0970700 Cluster_1324410 Cluster_1185329 EC:2.8.2.36 EC:2.8.2.36 EC:2.8.2.36 Cluster_1708179 Cluster_1690366 Cluster_1482333 Cluster_1146113 EC:2.6.1.103 Cluster_0217637 Cluster_0177475
257,FJ418584,Cluster_1906119
258,FJ418586,Cluster_0618865 Cluster_0852716 Cluster_0910269 Cluster_0652876 EC:2.4.1.13 Cluster_0311196 EC:2.1.1.77 Cluster_0157376 Cluster_0957173 Cluster_1339921 Cluster_0610713 Cluster_0424447 EC:4.2.1.3 Cluster_1838152
259,FJ436358,Cluster_0071195 EC:3.5.4.33 EC:2.6.1.9 Cluster_0410901 Cluster_0986134 Cluster_1409767 Cluster_0331096 Cluster_0283670 Cluster_1072311 Cluster_0574765 Cluster_1699840 Cluster_0851375 Cluster_0097870 Cluster_0776202 Cluster_1202192 Cluster_1309856 Cluster_0430021 Cluster_1834807 EC:2.1.1.106 Cluster_1288521 Cluster_0468580 Cluster_0293623 Cluster_0559960 Cluster_0152817
260,FJ460229,EC:4.2.1.19 Cluster_1745146 Cluster_1354660 EC:5.3.1.16 EC:5.3.1.16 EC:3.5.4.19 EC:3.6.1.31
261,FJ607245,Cluster_1884579 Cluster_0883104 Cluster_0669637 Cluster_0724126 Cluster_0964744 Cluster_1221012 Cluster_1235321 Cluster_1591317 Cluster_1802691 Cluster_0788329 Cluster_1157489 EC:5.3.1.28 Cluster_0905699
262,FJ617193,Cluster_1623122 Unknown Cluster_0582085 Cluster_0231230 Cluster_1599019 EC:1.1.1.100 Cluster_1516940 Cluster_1402219 Cluster_0176575 Cluster_1050583 Cluster_1030566 Cluster_1620134 Cluster_1078254
263,FJ959094,Cluster_0850761 Cluster_0923304 Cluster_1097555 Cluster_1320894 Cluster_1669633 Cluster_0875690 Cluster_0736060
264,FM164757,Cluster_1689764 Cluster_0061814 Cluster_0639139 Cluster_0871738 Cluster_1208869
265,FN545353,Cluster_0953274 Cluster_1579707 EC:6.4.1.4 EC:3.4.11.18 Cluster_0367730 Cluster_0042701 EC:1.1.1.100 EC:1.1.98.3 Cluster_0114004 EC:5.1.3.13 Cluster_1447667 EC:4.2.1.46
266,FN563143,Cluster_1203727
267,FN563144,EC:6.2.1.3
268,FN824141,Cluster_0201874 Cluster_0489727 Cluster_0727497 Cluster_0900090 Cluster_0571715 EC:6.2.1.3 EC:2.7.7.59 Cluster_0024842 Cluster_0951807 Cluster_1603680 Cluster_1837898 Cluster_1891212 Cluster_0677350 Cluster_0923561 Cluster_0285251 Cluster_0349160 EC:6.2.1.3 Cluster_1500757 Cluster_0407993 Cluster_1685293 Cluster_0186306 Cluster_0492119
269,FN868642,EC:2.3.1.178 EC:2.6.1.76 EC:4.2.1.108 EC:1.14.11.55 EC:2.7.2.4
270,FR727736,Cluster_0842334 Cluster_1155158 EC:3.6.3.44 Cluster_0578595 Cluster_0046078
271,GQ166664,Cluster_1174602 Cluster_1315019 Cluster_0885097 Cluster_0256366 Cluster_1325162 Cluster_1848313 Cluster_0319937 Cluster_0616067 Cluster_0870668 Cluster_0743494 Cluster_1443271 EC:3.2.1.22 Cluster_0188507 Cluster_1895151 Cluster_1716169 Cluster_1905555 Cluster_0696809 Cluster_0330447 Cluster_1144314 Cluster_0866292 Cluster_1628981 EC:2.3.1.193 Cluster_1449151 Cluster_0727372 Cluster_0288024 EC:4.3.1.28 Cluster_1319243 Cluster_1800859 Cluster_1441038 EC:4.3.99.3 Cluster_0224867 Cluster_0980816 Cluster_1898445 EC:6.3.4.20 Cluster_0901723 Cluster_1484709 Cluster_1361660 Cluster_1383160
272,GQ396161,Cluster_1543738 EC:1.14.13.1 Cluster_1815799 EC:1.13.11.2 EC:1.2.1.8 EC:3.7.1.9 EC:4.2.1.80 EC:1.2.1.10 EC:4.1.3.39 EC:4.1.1.77
273,GQ475282,Cluster_0169359 Cluster_0417992 Cluster_1232076 EC:2.5.1.54 Cluster_1552942 EC:1.1.3.15 EC:1.13.11.46 Cluster_1058556 Cluster_1896769 EC:2.3.1.74 Cluster_1123769 EC:1.13.11.80 EC:4.2.1.17 Cluster_0737646 Cluster_0230163 Cluster_1116667 Cluster_1149528 Cluster_0592645 Cluster_1351662 EC:6.2.1.3 EC:6.2.1.3 Cluster_1433175 Cluster_1218661 EC:3.6.3.24 Cluster_1178639 Cluster_1065968 Cluster_1429656 Cluster_0545613 Cluster_0176608 Cluster_0161153 Cluster_1884079 Cluster_1622174 Cluster_1413863 Cluster_0188980 Cluster_0008968 Cluster_0570703 Cluster_0604684 Cluster_0172539 Cluster_1672654 Cluster_0749789
274,GQ475283,Cluster_1593784 Cluster_1016726 Cluster_1379881 EC:2.3.1.179 Cluster_0146703 Cluster_1027540 Cluster_0673428 Cluster_1779982 Cluster_0223216 Cluster_0127365 Cluster_0035072 Cluster_0650783 Cluster_0242448 Cluster_0396573 Cluster_1348644 Cluster_0818110 Cluster_0080066 Unknown Cluster_0468400 Cluster_1633892 EC:2.7.8.7 Cluster_1906607 Cluster_0684496 Cluster_1282827 Cluster_0178558 Cluster_0547174 Cluster_0409831 Cluster_0659978 Cluster_0874954 Cluster_1124395 Cluster_0400273 Cluster_0976516
275,GQ477161,Cluster_0850761 Cluster_0923304 Cluster_1320894 Cluster_1669633 Cluster_0875690
276,GQ859495,Cluster_1731644 EC:2.7.13.3 Cluster_0214236 Cluster_1224952 Cluster_1320533 Cluster_0334480 Cluster_0779204 Cluster_1884054 Cluster_0902356 EC:6.2.1.3 Cluster_0004706 Cluster_1752223 Cluster_1449151 EC:4.2.1.11 EC:3.2.1.58 Cluster_1492343 Cluster_1688580 Cluster_1843639 EC:5.4.2.2
277,GQ869385,Cluster_1907307 Cluster_0985817 Cluster_0272860 EC:6.2.1.3 Cluster_1516868 EC:3.6.4.12 Unknown Cluster_0046210
278,GQ925917,Cluster_1351876 Cluster_0032515 Cluster_1204529 Cluster_0648696 Cluster_0067576 Cluster_1333084 Cluster_0853960 Cluster_0312658 Cluster_0816254 Cluster_1044144 Cluster_1842819 Cluster_0887239 Cluster_0410901 Cluster_1084729 Cluster_1090100 Cluster_1422578 Cluster_0398541 Cluster_0112068 Cluster_0887314 Cluster_1060693
279,GU233672,EC:2.7.11.1 Cluster_0756729 Cluster_0783693 Cluster_1893199 Cluster_0406699 Cluster_1845293 Cluster_0474375 EC:2.7.7.24 EC:4.2.1.46 Cluster_1842502 Cluster_0096197 Cluster_0871583 Cluster_0253422 Cluster_1636546 Cluster_1400937 Cluster_1899583 Cluster_0424732 Cluster_1346266 Cluster_0526096 EC:1.1.1.100 EC:2.3.1.179 Cluster_1459712 Cluster_0719767 Cluster_0281178 Cluster_0540997 Cluster_1138254 Cluster_0362971 Cluster_1507506
280,GU251056,Cluster_0831169 EC:6.3.2.14 Cluster_0008689 Cluster_1856856
281,GU289927,Cluster_1421019 Cluster_1192257 Cluster_1650791 Cluster_0709937 Cluster_0250152 Cluster_1247089
282,GU289928,Cluster_1421019 Cluster_1192257 Cluster_0973783 Cluster_0709937 Cluster_0250152 Cluster_1247089
283,GU384160,Cluster_1014816 Cluster_1407354 Cluster_0772639 Cluster_1783621 Cluster_1184931 Cluster_0309426 EC:2.6.1.50 Cluster_1239058 EC:3.1.3.15 Cluster_0535699 EC:5.1.3.13 EC:1.1.1.133 EC:4.2.1.46 EC:2.7.7.24 Cluster_1288521 Cluster_0283516 Cluster_0256821 Cluster_1906128 EC:3.1.3.39 EC:2.6.1.50 Cluster_1386250 Cluster_0912400
284,GU591312,Cluster_0397477 EC:6.2.1.3 Cluster_0611613 Cluster_0061609 Cluster_0902393 Cluster_0287052 EC:1.5.1.2 Cluster_0202630
285,GU938463,Cluster_0575339 Cluster_1722574 Cluster_1030338 Cluster_0991226 Cluster_0266248 Cluster_0069530 Cluster_1199471 Cluster_0397990 Cluster_0841848 EC:6.2.1.3 Cluster_0186645 Cluster_0567111 Cluster_0706650 Cluster_1241567 Cluster_0814059 Cluster_0929431 Cluster_0368722
286,HE580420,Cluster_1438407 EC:1.14.13.222 Cluster_0127052 Cluster_1730485 Cluster_1824513
287,HE580421,Cluster_1572281 EC:1.1.1.27 Cluster_0529175 Cluster_0227303 Cluster_1240799 Cluster_0784746 Cluster_1104951
288,HE586118,Cluster_1320533 Cluster_1363899 Cluster_0803456 Cluster_1763057 EC:2.7.1.33 Cluster_0531280 Cluster_1872903 Cluster_0620867 Cluster_0050488 Cluster_0507946 Cluster_0616131 Cluster_0377432 Cluster_0669836 Cluster_0617603 Cluster_1794310 Cluster_0783070 Cluster_1244733 Cluster_0619611 Cluster_0271876 Cluster_1385698 Cluster_0092771 Cluster_0365966 Cluster_0537436 Cluster_0615434 Cluster_1428022 Cluster_1898352 Cluster_1242749 Cluster_0978257 Cluster_0805550 EC:5.1.1.3 Cluster_0591378 EC:3.6.1.22 Cluster_0236595 Cluster_1080043 Cluster_1652667 Cluster_0504205 Cluster_1667957 Cluster_1172617 Cluster_0116533 Cluster_0041535 EC:2.7.1.29 Cluster_0325408 EC:1.11.1.6 Cluster_1050583 Cluster_0691944 Cluster_1067131 Cluster_0289231 Cluster_0930556 Cluster_1900249 Cluster_1768792 Cluster_1104637 Cluster_0074328 Cluster_0707741 Cluster_0516950 Cluster_0107314 Cluster_1494625 Cluster_1400617 Cluster_0909700 Cluster_0392166 Cluster_1847488 EC:1.11.1.15 Cluster_1123769 Cluster_1121844 Cluster_1880516 Cluster_1406333 Cluster_0384293 Cluster_0311129 Cluster_1742936 Cluster_0088744 Cluster_1065968 EC:2.3.1.180 EC:2.3.1.193 EC:2.3.1.94 Cluster_0554931 EC:2.3.1.94 Cluster_0237477 EC:2.3.1.94 EC:2.3.1.94 EC:2.3.1.38 EC:2.3.1.94 Cluster_0866640 EC:3.1.2.14 Cluster_1804098 Cluster_0375649 Cluster_1621744 Cluster_0462667 Cluster_1434081 Cluster_1587874 Cluster_1790783 Cluster_1579643 EC:3.1.2.14 Cluster_0371117
289,HE648167,Cluster_1238739 Cluster_1323533 EC:2.3.1.94 EC:2.3.1.94 Cluster_0012412 EC:2.3.1.94 EC:2.3.1.94 Cluster_1025121 Cluster_1762039
290,HE648922,Cluster_0789297 Cluster_0789297 Cluster_0034481 Cluster_0651557 Cluster_0256921 Cluster_0230491 Cluster_0040592
291,HE980445,Cluster_1673142 Cluster_0618865 Cluster_1169892 Cluster_0821836 Cluster_0385013 Cluster_1434423 Cluster_1140527 Cluster_0254182 Cluster_1249518 Cluster_0292523 Cluster_1385590 EC:2.7.7.24 EC:5.3.1.9 EC:4.2.1.46 EC:1.1.1.133 Cluster_1815617 EC:2.6.1.87 Cluster_1305095 EC:3.2.1.184 Cluster_1686933 EC:2.7.7.43 Cluster_0375649 Cluster_0928562 EC:2.1.1.197 Cluster_1662174
292,HE980446,Cluster_1673142 Cluster_1310431 Cluster_0821836 Cluster_0385013 Cluster_1434423 Cluster_1140527 Cluster_0254182 Cluster_1169897 Cluster_1249518 Cluster_0292523 Cluster_1385590 EC:2.7.7.24 EC:5.3.1.9 EC:4.2.1.46 EC:1.1.1.133 Cluster_0139707 EC:2.6.1.87 Cluster_0104069 EC:3.2.1.184 Cluster_1686933 EC:2.7.7.43 Cluster_0970700 Cluster_0519424 EC:2.1.1.197 Cluster_1662174
293,HE980447,Cluster_1673142 Cluster_1310431 Cluster_0821836 Cluster_0385013 Cluster_1434423 Cluster_1140527 Cluster_0254182 Cluster_1249518 Cluster_0292523 Cluster_1385590 EC:2.7.7.24 EC:5.3.1.9 EC:4.2.1.46 EC:1.1.1.133 Cluster_0139707 EC:2.6.1.87 Cluster_0104069 EC:3.2.1.184 Cluster_1686933 EC:2.7.7.43 Cluster_0375649 Cluster_0928562 EC:2.1.1.197 Cluster_0094248
294,HF545881,Cluster_1673142 Cluster_0980817 Cluster_0790152 Cluster_0821836 Cluster_0385013 Cluster_1434423 Cluster_1140527 Cluster_0254182 Cluster_1249518 Cluster_0292523 Cluster_1385590 EC:2.7.7.24 EC:5.3.1.9 EC:4.2.1.46 EC:1.1.1.133 Cluster_0139707 EC:2.6.1.87 Cluster_1305095 EC:3.2.1.184 Cluster_1686933 EC:2.7.7.43 Cluster_0375649 Cluster_0928562
295,HF565364,Cluster_0484398 Cluster_1653936 Cluster_0061213 Cluster_1763476 Cluster_0598388 EC:3.6.3.17 Cluster_1039020
296,HF678227,Cluster_1389559 Cluster_1850630 Cluster_1354428 Cluster_0385013 Cluster_1489526 Cluster_1311278 Cluster_1485561 Cluster_0173921 Cluster_0756483 Cluster_1038213 Cluster_0411304 Cluster_0694161 Cluster_1277514 Cluster_0826785 EC:2.7.7.24 EC:5.3.1.9 EC:4.2.1.46 EC:1.1.1.133 Cluster_1815617 EC:2.6.1.87 Cluster_0467516 EC:3.2.1.184 Cluster_1686933 EC:2.7.7.43 Cluster_0375649 Cluster_0928562
297,HG428739,Cluster_0880783 EC:2.2.1.7 EC:1.17.7.3 EC:1.17.7.4 Cluster_0577976 Cluster_0321044 EC:1.14.13.24 EC:5.3.3.17 Cluster_1220300 Cluster_1393051 Cluster_0826651 Cluster_1377407 Cluster_1639562 Cluster_0337987 Cluster_0267503 Cluster_1875285 Cluster_1283511 Cluster_1598479 EC:5.3.3.2 Cluster_1241184 Cluster_1250072 EC:2.3.1.180
298,HM051054,EC:2.7.7.24 EC:4.2.1.46 EC:1.1.1.133 EC:5.1.3.13 Cluster_0931748
299,HM104631,EC:6.2.1.26
300,HM104632,EC:6.2.1.26
301,HM132058,Cluster_0614931 EC:4.2.1.46 EC:2.7.7.24 EC:5.1.3.13 Cluster_0438312 EC:1.1.1.344 Cluster_1884223 Cluster_0055633
302,HM172486,Cluster_1095662 Cluster_0478882 Cluster_1009142 Cluster_1585077 Cluster_1389565
303,HM486074,Cluster_0182164 Cluster_0334443 Cluster_1274740 EC:3.4.13.22 EC:6.3.2.4 EC:1.1.1.28 Cluster_0094792 EC:2.7.13.3 Cluster_1606149 EC:6.3.2.10 EC:6.3.2.4 EC:2.4.1.227 Cluster_0451518 Cluster_1074595 Cluster_1703880 Cluster_1354660 Cluster_1121844 Cluster_0289633 Cluster_1104986 EC:2.7.7.24 EC:2.4.1.311 EC:2.4.1.310 EC:2.4.1.310 EC:2.6.1.106 EC:5.1.3.13 Cluster_1258373 Cluster_0521994 EC:4.2.1.46 EC:2.1.1.197 EC:2.4.1.310 Cluster_0436282 Cluster_0317327 Cluster_0290350 Cluster_1281767 Cluster_1045164 Cluster_1708179 Cluster_0287788 Cluster_1032662 Cluster_0736955 Cluster_1673543 Cluster_0832358 Cluster_1466465 EC:2.3.1.74 Cluster_0407900 EC:1.13.11.80 Cluster_0821836 EC:3.5.4.16 Cluster_1653936 Cluster_0156012 Cluster_0139583 Cluster_0139583 Cluster_1183326 EC:1.13.11.27 EC:1.1.3.15
304,HM486075,EC:1.1.1.28 EC:6.3.2.4 EC:3.4.13.22 EC:2.7.13.3 Cluster_1124227 Cluster_1181048 Cluster_1245317 Cluster_0567111 Cluster_1509513 Cluster_1606065 Cluster_0939003 Cluster_1121844 Cluster_0280855 Cluster_1606076 Cluster_0132866 Cluster_1041168 Cluster_0278221 Cluster_0771941 Cluster_1204982 EC:2.4.1.311 EC:2.4.1.310 EC:2.4.1.310 EC:2.1.1.197 EC:2.4.1.310 Cluster_1818036 Cluster_0436282 Cluster_0163600 EC:2.6.1.103 Cluster_0980986 Cluster_0348336 Cluster_1260795 EC:1.13.11.27 EC:1.1.3.15 Cluster_0248805 Cluster_0188898 Cluster_0864922 EC:2.6.1.50 Cluster_1737795 Cluster_0145616 EC:2.3.1.74 EC:1.13.11.80 EC:4.2.1.17
305,HM486076,Cluster_1310953 EC:3.4.13.22 EC:6.3.2.4 Cluster_0150941 Cluster_1274740 EC:6.3.2.10 EC:1.1.1.28 EC:2.7.13.3 Cluster_1570052 Cluster_1250050 EC:2.1.1.6 Cluster_1016403 Cluster_0762977 Cluster_1672654 EC:6.2.1.3 Cluster_0289633 Cluster_1104986 EC:2.7.7.24 EC:2.4.1.311 EC:2.4.1.310 EC:2.4.1.310 EC:2.1.1.197 EC:2.4.1.310 EC:2.6.1.50 EC:5.1.3.13 Cluster_1258373 Cluster_0521994 Cluster_0436282 Cluster_0111870 Cluster_0290350 Cluster_1281767 Cluster_1104739 Cluster_0287788 Cluster_0684769 Cluster_0736955 Cluster_1673543 Cluster_0670677 EC:1.1.3.15 Cluster_1154058 EC:3.5.4.16 Cluster_1653936 Cluster_1060693 Cluster_1034339 Cluster_0739006 EC:2.3.1.74 EC:1.13.11.80 EC:4.2.1.17 EC:2.4.1.227
306,HM594285,EC:2.3.1.184 Cluster_1596070 Cluster_0472142 Cluster_0992319 EC:2.5.1.54 Cluster_1446143 EC:4.1.3.27 EC:5.3.3.17 Cluster_1068686 Cluster_0674135
307,HM770876,Cluster_0619689 Cluster_0868588 Cluster_0349615 Cluster_1287401
308,HM770877,Cluster_1863058 EC:5.1.3.14 EC:1.1.1.336 Cluster_1155104 Cluster_0759397
309,HM770878,EC:5.1.3.14 EC:1.1.1.336 Cluster_1738233 Cluster_0759397
310,HQ003813,Cluster_0226488 Cluster_0466588 EC:3.3.1.1 Cluster_0672441 EC:2.1.1.13 Cluster_1341157 EC:2.5.1.6 Cluster_0235228 EC:2.1.1.234 Cluster_1064275 EC:2.7.7.24 Cluster_1902919 Cluster_0962440 Cluster_0552763 Cluster_0447434 Cluster_0268349 Cluster_1738111 Cluster_0347848 Cluster_1911082 Cluster_0052322 Cluster_0710969 Cluster_1505123 Cluster_1423373 Cluster_1864636 Cluster_1555117 EC:3.3.2.10 Cluster_0939242 Cluster_1594365 EC:3.1.26.5 Cluster_0912970 Cluster_1493077 Cluster_1440945 Cluster_1454179 Cluster_1729436 Cluster_0847395 Cluster_0224894 Cluster_0954267 Cluster_0202748 Cluster_0866640 Cluster_1424174 Cluster_0915473 Cluster_1144371
311,HQ023427,Cluster_0673735 EC:5.1.3.2 EC:2.7.8.13 Cluster_1861847 EC:2.7.8.13 EC:5.1.3.2 Cluster_1521682 Cluster_1878649 EC:2.7.7.89 Cluster_0588981 Cluster_1513875 Cluster_1457571 Cluster_1133874 Cluster_1403985 EC:5.3.1.28 EC:2.7.1.168 Cluster_1701940 EC:1.1.1.133 EC:5.1.3.13 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
312,HQ111437,Cluster_1448560 Cluster_1784816 Cluster_0198469 Cluster_1796055 Cluster_1087911 Cluster_0313064 Cluster_0729721 EC:5.1.3.2 Cluster_0122055 Cluster_1120827 Cluster_0470646 Cluster_1446575 Cluster_1609008 Cluster_1728541 EC:2.1.1.197 Cluster_0491314 Cluster_0520737 Cluster_0631798 Cluster_0943660 Cluster_1872283 Cluster_1630392 Cluster_1568778 Cluster_1127545 Cluster_1057424 Cluster_1372903 Cluster_1108348 Cluster_1626421
313,HQ130277,Cluster_0416965 Cluster_0922937 Cluster_0229435 Cluster_0700356 Cluster_1062899 EC:6.3.2.47 Cluster_1826383
314,HQ202571,EC:1.2.1.38 Cluster_1016581 EC:2.7.2.8 EC:2.6.1.11 Cluster_1200820
315,HQ215062,Cluster_0151947 Cluster_1223296 Cluster_1790072 Cluster_0320334 Cluster_1123166 Cluster_0917476 EC:6.2.1.3 Cluster_0801849 Cluster_0898725 Cluster_0568641 Cluster_1710673 Cluster_0737218 Cluster_0074328 Cluster_1185602
316,HQ215551,Cluster_1044407 Cluster_1796055 Cluster_1087911 Cluster_0313064 Cluster_0729721 EC:5.1.3.2 Cluster_0122055 Cluster_1120827
317,HQ292066,Cluster_0461544 EC:1.2.1.12 EC:1.14.19.8 EC:1.14.11.35 Cluster_0886357 EC:1.1.1.340 EC:1.14.13.170 EC:1.14.11.36 Cluster_1160895 EC:1.14.13.133
318,HQ441176,Cluster_0970273 Cluster_1772837 Cluster_0129493 Cluster_0220295 EC:3.4.24.69
319,HQ668145,Cluster_1876042 Cluster_0935282 Cluster_1146113
320,HQ678131,Cluster_0811494 Cluster_1281032 Cluster_0033674 Cluster_1470192 Cluster_0688203 Cluster_0522451 Cluster_0337987 Cluster_1759635 EC:5.3.3.17 Cluster_1862875 Cluster_1577439 Cluster_1130605
321,HQ696501,Cluster_1053102 Cluster_1085753 Cluster_0593681 Cluster_1194663 Cluster_0927782 Cluster_1891212 EC:6.2.1.3 Cluster_1433175 Cluster_1712887 Cluster_0815393 Cluster_1354995
322,HQ696504,Cluster_0003544 Cluster_1215200 Cluster_0970700 Cluster_1503821 Cluster_1728512 Cluster_0383720 Cluster_1872651 Cluster_0204517 EC:4.4.1.11 Cluster_1780123 Cluster_1259632 Cluster_1649776 EC:1.1.1.100 Cluster_1333109 Cluster_0737843 Cluster_0647625 EC:1.1.1.169 Cluster_1063945 Cluster_0137461 EC:4.2.1.119 Cluster_0461544 EC:4.2.1.119 Cluster_0836435 Cluster_1035636 Cluster_0473999 Cluster_1154133 Cluster_0678798 EC:2.6.1.39 EC:6.3.2.4 EC:2.7.1.29 Cluster_1326129 Cluster_1794300
323,HQ840740,Cluster_1698800 EC:2.3.1.111 Cluster_1850317 Cluster_0767256 Cluster_0103885 EC:2.1.3.12 Cluster_0140120 Cluster_1500091 Cluster_0661394 EC:2.1.1.104 Cluster_0171078 EC:4.2.3.4 Cluster_1353147 Cluster_1192257 Cluster_1908434
324,HQ852227,Cluster_0809222 Cluster_1880516 EC:2.3.1.94 EC:2.3.1.94 EC:2.3.1.165 EC:3.1.2.14 Cluster_1100395 Cluster_0871473 Cluster_0394714 Cluster_0364875 Cluster_0870703 Cluster_0337044 Cluster_1030503 Cluster_1438126
325,HV510552,Cluster_1861847
326,HV510561,EC:2.1.1.77
327,JF723980,EC:1.3.99.28 EC:2.5.1.32 Cluster_1849592 EC:2.1.1.210 EC:2.5.1.10 EC:1.3.99.27
328,JF745807,EC:3.6.1.41 EC:4.2.1.46 EC:2.7.7.24 EC:5.1.3.13 EC:1.1.1.133 Cluster_0381092 Cluster_0626058 Cluster_1192257 Cluster_0733106 Cluster_1256997 EC:3.6.3.40 Cluster_1523812 Cluster_1388674 Cluster_0152017 Cluster_0959889 Cluster_1787479 Cluster_0081322 Cluster_0417016 Cluster_1608203 Cluster_1673344 EC:5.1.3.26 Cluster_1538385 Cluster_0233218
329,JF745808,EC:3.6.1.41 EC:4.2.1.46 EC:2.7.7.24 Cluster_0847324 EC:1.1.1.133 Cluster_0589854 EC:2.7.1.168 EC:5.3.1.28 Cluster_1523847 EC:3.6.3.40 Cluster_0734730 Cluster_0898725 EC:3.6.3.40 Cluster_1785364 Cluster_1862059 Cluster_0713273 EC:5.1.3.26 Cluster_1449151 Cluster_1574762
330,JF745809,Cluster_1883944 EC:4.2.1.46 EC:2.7.7.24 Cluster_0443832 EC:1.1.1.133 Cluster_0546883 EC:2.7.1.168 EC:5.3.1.28 Cluster_0031638 Cluster_1591335 EC:3.6.3.40 Cluster_1821912 Cluster_0036627 Cluster_0224894 Cluster_1785364 Cluster_1532232 Cluster_0457757 Cluster_1686008 Cluster_1748636 Cluster_1370490
331,JF803483,Cluster_1453828 Cluster_0723012 Cluster_0630275 Cluster_0965528 Cluster_0022755 Cluster_0903108 Cluster_0083738 EC:3.1.3.18 Cluster_1123338 EC:2.6.1.50 Cluster_0029250 Cluster_0381092 Cluster_1197718 EC:2.7.1.179 EC:4.2.3.4 EC:6.2.1.3 EC:2.3.1.94 EC:2.3.1.94 EC:2.7.1.33 EC:2.3.1.94 Cluster_1007845 EC:1.14.13.9 Cluster_1666186 EC:1.1.1.25 Cluster_0167474 Cluster_1607909 Cluster_1742581 Cluster_1633603 Cluster_0299315 Cluster_1041508 EC:3.2.1.3 Cluster_0045971 Cluster_1311376
332,JF803645,Cluster_0823353 Cluster_0880393 EC:2.4.1.1 Cluster_1537867 EC:2.1.1.77 Cluster_0583855 Cluster_1905097
333,JF826561,Cluster_0346603 Cluster_0408482 Cluster_1712849 Cluster_1730485 Cluster_0332925 Cluster_1415546 EC:1.2.7.7 EC:6.2.1.3 Unknown Cluster_0223216
334,JF894101,Cluster_1545491 Cluster_0477168 Cluster_1823601 Cluster_1523847 Cluster_0350986
335,JN121120,Cluster_0305572 Cluster_0525810 Cluster_0933504 Cluster_1435513 Unknown
336,JN121121,Cluster_1490760 Cluster_1449151 Cluster_1834227 Cluster_1614790 EC:1.1.1.27 Cluster_0375649 EC:1.5.3.10
337,JN121123,Cluster_0970625 Cluster_0447434 Cluster_0168182 Cluster_1786224
338,JN167225,Cluster_1788390 Cluster_1019729 Cluster_1427691 EC:2.1.1.261 EC:1.5.1.46 EC:1.3.1.100 Cluster_0558025
339,JN177500,Cluster_1019729 Cluster_1427691 EC:2.1.1.261 EC:1.5.1.46 EC:1.3.1.100 Cluster_0558025
340,JN177501,EC:2.5.1.34 Cluster_0918368 Cluster_0457316 EC:1.1.1.51
341,JN177502,Cluster_1346131
342,JN177503,EC:1.11.1.6 EC:1.1.1.332
343,JN177504,EC:2.5.1.34 Cluster_0558025 EC:1.3.1.100 EC:1.5.1.46 EC:2.1.1.261 Cluster_1427691 Cluster_1019729
344,JN177506,EC:6.2.1.3
345,JN177507,EC:2.5.1.34 EC:1.11.1.6
346,JN177508,Cluster_1427691 EC:2.1.1.261
347,JN186798,EC:4.2.1.33
348,JN186800,Cluster_1790783 EC:2.5.1.34 Cluster_0019973 EC:2.1.1.261 EC:1.1.1.332 Cluster_0457316 Cluster_0918368 Cluster_1019729 EC:1.3.1.100 Cluster_1839278 Unknown EC:4.2.1.33
349,JN206680,EC:1.3.99.26 EC:2.5.1.32 EC:2.5.1.1 EC:1.3.99.27 EC:1.3.99.27 Cluster_1884314 Cluster_0443271
350,JN207130,Cluster_1119554 Cluster_1837898 Cluster_1756199 Cluster_0966326 Cluster_1861843 Cluster_0064869 EC:5.3.3.2 Cluster_0886651 Cluster_0309928
351,JN224892,EC:1.9.3.1 Cluster_0836295 Cluster_1545491 EC:1.3.99.31 EC:3.2.2.n1 Cluster_1340850
352,JN402322,EC:1.14.13.70 EC:5.5.1.13 Cluster_1756199 Cluster_0381028 Cluster_1861843 Cluster_1284094 EC:5.3.3.2 Cluster_0886651 Cluster_1677929
353,JN402323,Cluster_1526583 EC:5.3.3.17 Cluster_1203031 Cluster_0187101 Cluster_1366784 Cluster_1081380 EC:5.3.3.2 Cluster_0685389 Cluster_1510422 Cluster_0057864 EC:2.5.1.121 Cluster_0571584
354,JN571483,Cluster_1361771 EC:4.2.1.46 Cluster_0908708 Cluster_1612776 EC:2.6.1.90 Cluster_0378325 Cluster_1734250 EC:2.7.7.24 EC:1.1.1.133 Cluster_0391988
355,JN581990,EC:4.2.1.46 EC:2.7.7.24 Cluster_0840679 EC:1.1.1.133 Cluster_1116998 Cluster_1820672 Cluster_1798858 EC:5.1.3.25 Cluster_0845552 Cluster_0676443 Cluster_0793559 Cluster_1141956 Cluster_0589290 Cluster_1199712 Cluster_1540397
356,JN581991,EC:3.6.1.41 EC:4.2.1.46 EC:2.7.7.24 Cluster_1021202 EC:1.1.1.133 Cluster_1116998 Cluster_1820672 Cluster_1798858 EC:5.1.3.25 Cluster_0845552 Cluster_0676443 Cluster_0793559 Cluster_1141956 Cluster_0589290 Cluster_1199712 Cluster_1540397
357,JN581992,Cluster_1540397 Cluster_1199712 Cluster_0589290 Cluster_1141956 Cluster_0793559 Cluster_0676443 Cluster_0845552 EC:5.1.3.25 Cluster_1798858 Cluster_1820672 Cluster_1116998 EC:1.1.1.133 Cluster_1021202 EC:2.7.7.24 EC:4.2.1.46 EC:3.6.1.41
